região onde foi realizada a entrevista;idade: qual a sua idade (em anos completos)?;área;sexo;cor ou raça;última série escolar que concluiu com aprovação;até que série o seu pai estudou;até que série a sua mãe estudou;renda total do chefe da família no último mês;renda total de todos os moradores (parentes e agregados) no último mês;número de moradores no domicílio (parentes e agregados);no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli;religião;mulheres que usam roupas que mostram o corpo merecem ser atacadas;as mulatas são mais fogosas do que as mulheres brancas;dá para entender que um homem que cresceu em uma família violenta agrida sua mul;os homens devem ser a cabeça do lar;casos de violência dentro de casa devem ser discutidos somente entre os membros ;incomoda ver dois homens, ou duas mulheres, se beijando na boca em público;se as mulheres soubessem como se comportar, haveria menos estupros;homem que bate na esposa tem que ir para a cadeia;é violência falar mentiras sobre uma mulher para os outros;toda mulher sonha em se casar;o que acontece com o casal em casa não interessa aos outros;quando há violência, os casais devem se separar;casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais;dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo;um homem pode xingar e gritar com sua própria mulher;é da natureza do homem ser violento;em briga de marido e mulher, não se mete a colher;a roupa suja deve ser lavada em casa;uma mulher só se sente realizada quando tem filhos/as;a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade;piada de preto é só brincadeira, não é racismo;um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh;mulher que é agredida e continua com o parceiro gosta de apanhar;casamento de homem com homem ou de mulher com mulher deve ser proibido;a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos;a questão da violência contra as mulheres recebe mais importância do que merece;tem mulher que é pra casar, tem mulher que é pra cama
NORDESTE;73;urbano;feminino;preta;primeira série fundamental;não sabe;não sabe;;;5;2;sem;discorda total;ns;discorda total;concorda total;discorda total;discorda total;ns;concorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;ns;discorda total;ns;ns;concorda total;ns;discorda total;discorda total;discorda total
SUDESTE;36;metropolitano;feminino;branca;sétima série fundamental;quarta série fundamental completa;analfabeto ou sem instrução;600;1000;5;2;católica;discorda total;discorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial
SUDESTE;69;metropolitano;masculino;branca;fundamental completa;quinta série fundamental;quinta série fundamental;1200;1200;3;2;católica;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total
NORDESTE;66;urbano;feminino;branca;analfabeto ou sem instrução;primeira série fundamental;analfabeto ou sem instrução;800;800;6;1;católica;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;discorda total
SUDESTE;65;metropolitano;feminino;preta;segunda série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;1200;1200;6;2;evangélica;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total
SUDESTE;69;metropolitano;masculino;branca;quarta série fundamental completa;primeira série fundamental;primeira série fundamental;800;800;2;2;católica;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total
SUDESTE;34;urbano;masculino;parda;médio completo;fundamental completa;oitava série fundamental incompleta;2100;2100;4;2;católica;discorda total;discorda total;discorda total;discorda parcial;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;discorda parcial;discorda total;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda parcial
SUDESTE;51;metropolitano;masculino;preta;fundamental completa;quinta série fundamental;quinta série fundamental;2300;3500;4;2;católica;discorda total;discorda total;discorda total;discorda parcial;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total
SUDESTE;21;metropolitano;masculino;branca;médio completo;quinta série fundamental;quinta série fundamental;1800;2500;4;2;evangélica;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUL;62;urbano;masculino;parda;segunda série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;;;2;2;católica;discorda total;ns;discorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;ns;discorda total;discorda total;ns;ns;discorda total;discorda total;discorda total;discorda total
NORDESTE;60;urbano;feminino;branca;primeira série fundamental;primeira série fundamental;analfabeto ou sem instrução;678;678;1;2;católica;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;discorda total;discorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda total;neutro;discorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;discorda total;concorda total;concorda parcial;discorda parcial
SUL;22;urbano;feminino;branca;superior completo;quarta série fundamental incompleta;médio completo;;;3;2;católica;discorda parcial;discorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total
SUL;32;urbano;feminino;branca;superior completo;fundamental completa;fundamental completa;1500;5000;2;2;católica;discorda total;discorda total;discorda total;discorda total;discorda total;neutro;discorda total;concorda total;discorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda parcial;discorda total;discorda total;discorda total;discorda total
NORDESTE;52;urbano;feminino;preta;terceira série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;450;450;4;1;evangélica;discorda parcial;discorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda parcial;discorda total;discorda parcial;concorda parcial;discorda total;concorda parcial
NORDESTE;44;urbano;feminino;parda;quinta série fundamental;analfabeto ou sem instrução;primeira série fundamental;678;678;5;1;católica;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;discorda parcial;concorda total;concorda total;neutro;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;neutro
SUL;52;urbano;feminino;parda;fundamental completa;não sabe;não sabe;950;1600;5;2;católica;discorda total;neutro;concorda total;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda parcial;concorda total;neutro;concorda total;neutro;discorda total;concorda total;discorda total
SUL;28;urbano;feminino;preta;médio completo;fundamental completa;sétima série fundamental;;1200;4;2;católica;discorda total;discorda total;concorda total;discorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;discorda parcial;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total
SUL;70;urbano;masculino;branca;terceira série fundamental;analfabeto ou sem instrução;terceira série fundamental;678;678;2;2;católica;discorda total;neutro;discorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;discorda total
NORDESTE;52;urbano;feminino;parda;quinta série fundamental;segunda série fundamental;primeira série fundamental;800;1000;5;2;católica;concorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;concorda parcial;discorda parcial;discorda parcial;concorda parcial;discorda parcial;discorda total;discorda parcial;discorda parcial;discorda parcial;discorda total;discorda parcial;concorda parcial;concorda total;discorda parcial;neutro;discorda total;discorda parcial;concorda parcial;discorda parcial;concorda total;discorda parcial
SUDESTE;31;metropolitano;feminino;preta;médio completo;quinta série fundamental;quinta série fundamental;;;3;2;católica;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;61;metropolitano;feminino;preta;fundamental completa;segunda série fundamental;segunda série fundamental;670;1500;3;2;católica;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUL;60;urbano;masculino;branca;quarta série fundamental completa;quarta série fundamental completa;quarta série fundamental completa;1000;1678;2;2;católica;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda parcial;discorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda parcial;ns;discorda total;neutro
SUL;16;urbano;masculino;parda;primeira série médio;não sabe;especialização;;;4;2;evangélica;discorda total;ns;concorda parcial;concorda parcial;neutro;discorda total;discorda total;concorda total;concorda parcial;neutro;concorda total;neutro;discorda parcial;neutro;concorda total;ns;concorda total;concorda total;ns;neutro;discorda total;discorda total;neutro;ns;neutro;discorda total;concorda total
SUDESTE;57;metropolitano;masculino;branca;quarta série fundamental completa;primeira série fundamental;primeira série fundamental;1500;1500;3;2;evangélica;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUL;39;urbano;feminino;preta;oitava série fundamental incompleta;não conheceu;quinta série fundamental;1500;4500;5;2;evangélica;discorda total;neutro;concorda parcial;discorda total;discorda total;concorda parcial;neutro;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial
NORDESTE;20;urbano;feminino;preta;médio completo;não sabe;não sabe;1300;2500;5;2;evangélica;concorda total;ns;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;discorda total;discorda total;concorda total;concorda total;ns;concorda total;discorda total;discorda parcial;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total
NORDESTE;49;urbano;feminino;preta;fundamental completa;analfabeto ou sem instrução;analfabeto ou sem instrução;678;678;4;2;católica;discorda total;neutro;discorda total;concorda total;concorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial
NORDESTE;32;urbano;feminino;branca;sétima série fundamental;analfabeto ou sem instrução;médio completo;550;600;3;1;católica;discorda total;ns;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total
NORDESTE;36;urbano;feminino;parda;médio completo;não sabe;não sabe;678;1300;4;2;católica;discorda total;neutro;concorda total;discorda total;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;concorda total
NORDESTE;37;urbano;feminino;parda;sexta série fundamental;não sabe;não sabe;678;678;5;1;sem;discorda total;ns;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;discorda total;concorda parcial;concorda total;ns;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;ns
SUL;56;urbano;masculino;branca;superior completo;quinta série fundamental;quinta série fundamental;3000;7000;5;2;evangélica;discorda total;neutro;concorda parcial;concorda total;discorda total;concorda total;neutro;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda parcial;discorda parcial;discorda total;discorda total;discorda total;concorda total;discorda total;concorda parcial;concorda parcial
SUL;60;urbano;feminino;branca;terceira série fundamental;não sabe;não sabe;678;;2;2;católica;concorda total;ns;discorda total;concorda parcial;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;neutro;concorda parcial;concorda total;concorda total;concorda total;concorda total
SUDESTE;38;metropolitano;feminino;branca;médio completo;quinta série fundamental;quinta série fundamental;;;2;2;evangélica;discorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;discorda parcial;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
NORDESTE;44;urbano;feminino;parda;oitava série fundamental incompleta;não sabe;não sabe;678;1900;4;2;sem;discorda total;neutro;concorda total;concorda total;concorda total;discorda total;ns;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda total;discorda total;ns;concorda total;neutro;discorda total;discorda total;concorda total
NORDESTE;66;urbano;masculino;parda;primeira série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;678;678;1;2;católica;discorda total;neutro;discorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;discorda total
SUL;38;urbano;masculino;branca;segunda série médio;fundamental completa;fundamental completa;1700;2400;2;2;católica;discorda total;ns;concorda parcial;discorda parcial;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;discorda total;ns;concorda total;discorda total;discorda total;ns
SUDESTE;59;metropolitano;masculino;preta;fundamental completa;terceira série fundamental;primeira série fundamental;1000;1500;3;2;católica;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;discorda parcial
SUDESTE;52;metropolitano;masculino;branca;cursou superior sem concluir;primeira série fundamental;analfabeto ou sem instrução;4230;4230;4;2;católica;discorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;neutro;concorda total;concorda total;concorda total;concorda total;neutro;concorda total;discorda total;discorda total;neutro;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;neutro
SUL;74;urbano;feminino;branca;quarta série fundamental completa;não sabe;não sabe;678;1200;2;2;católica;discorda total;ns;discorda total;concorda parcial;discorda total;concorda total;ns;concorda parcial;concorda total;concorda total;ns;concorda total;ns;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;neutro;concorda total;neutro;discorda parcial;ns;neutro
SUL;42;urbano;masculino;branca;cursou superior sem concluir;médio completo;quarta série fundamental completa;1500;3500;5;2;católica;discorda total;discorda total;concorda parcial;discorda total;discorda parcial;discorda total;discorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;discorda total;concorda total
SUDESTE;75;metropolitano;feminino;parda;analfabeto ou sem instrução;analfabeto ou sem instrução;analfabeto ou sem instrução;678;678;1;2;católica;discorda total;concorda total;discorda total;concorda parcial;discorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda total;discorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda parcial;discorda total;discorda total;discorda parcial;concorda total
NORDESTE;18;urbano;feminino;parda;fundamental completa;segunda série fundamental;analfabeto ou sem instrução;;678;2;2;católica;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda parcial;concorda total
