regiÆo onde foi realizada a entrevista	idade: qual a sua idade (em anos completos)?	 rea	sexo	cor ou ra‡a	£ltima s‚rie escolar que concluiu com aprova‡Æo	at‚ que s‚rie o seu pai estudou	at‚ que s‚rie a sua mÆe estudou	renda total do chefe da fam¡lia no £ltimo mˆs	renda total de todos os moradores (parentes e agregados) no £ltimo mˆs	n£mero de moradores no domic¡lio (parentes e agregados)	no £ltimo mˆs, alguma pessoa deste domic¡lio recebeu rendimentos do bolsa fam¡li	religiÆo	mulheres que usam roupas que mostram o corpo merecem ser atacadas	as mulatas sÆo mais fogosas do que as mulheres brancas	d  para entender que um homem que cresceu em uma fam¡lia violenta agrida sua mul	os homens devem ser a cabe‡a do lar	casos de violˆncia dentro de casa devem ser discutidos somente entre os membros 	incomoda ver dois homens, ou duas mulheres, se beijando na boca em p£blico	se as mulheres soubessem como se comportar, haveria menos estupros	homem que bate na esposa tem que ir para a cadeia	‚ violˆncia falar mentiras sobre uma mulher para os outros	toda mulher sonha em se casar	o que acontece com o casal em casa nÆo interessa aos outros	quando h  violˆncia, os casais devem se separar	casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais	d  pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo	um homem pode xingar e gritar com sua pr¢pria mulher	‚ da natureza do homem ser violento	em briga de marido e mulher, nÆo se mete a colher	a roupa suja deve ser lavada em casa	uma mulher s¢ se sente realizada quando tem filhos/as	a mulher casada deve satisfazer o marido na cama, mesmo quando nÆo tem vontade	piada de preto ‚ s¢ brincadeira, nÆo ‚ racismo	um casal de dois homens vive um amor tÆo bonito quanto entre um homem e uma mulh	mulher que ‚ agredida e continua com o parceiro gosta de apanhar	casamento de homem com homem ou de mulher com mulher deve ser proibido	a mulher que apanha em casa deve ficar quieta para nÆo prejudicar os filhos	a questÆo da violˆncia contra as mulheres recebe mais importƒncia do que merece	tem mulher que ‚ pra casar, tem mulher que ‚ pra cama
SUDESTE	33	metropolitano	masculino	preta	terceira s‚rie m‚dio incompleto	m‚dio completo	m‚dio completo	1800	1800	6	2	cat¢lica	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total	discorda total	concorda total	discorda total	discorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total
NORDESTE	35	urbano	feminino	branca	m‚dio completo	analfabeto ou sem instru‡Æo	quarta s‚rie fundamental incompleta	678	1300	5	1	cat¢lica	concorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	concorda parcial
SUDESTE	29	metropolitano	feminino	preta	m‚dio completo	quarta s‚rie fundamental incompleta	quarta s‚rie fundamental incompleta			3	2	cat¢lica	concorda total	discorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total	discorda total	concorda total	discorda total	concorda total	concorda total	discorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total
NORDESTE	50	urbano	feminino	parda	terceira s‚rie m‚dio incompleto	primeira s‚rie fundamental	primeira s‚rie fundamental	1200	1500	2	2	cat¢lica	concorda total	discorda parcial	concorda total	discorda parcial	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda parcial	concorda parcial	concorda total	discorda total	discorda total	concorda total	discorda total	concorda parcial	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total	discorda total	discorda total
SUDESTE	71	metropolitano	feminino	parda	m‚dio completo	nÆo sabe	nÆo sabe			1	2	evang‚lica	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total
SUDESTE	63	metropolitano	feminino	branca	fundamental completa	nÆo sabe	nÆo sabe			1	2	cat¢lica	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	neutro	concorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total
NORDESTE	62	urbano	feminino	branca	segunda s‚rie fundamental	m‚dio completo	analfabeto ou sem instru‡Æo	1800	1800	8	1	cat¢lica	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	discorda parcial	discorda parcial	concorda parcial	discorda total	concorda total	discorda total	discorda total	concorda parcial
SUDESTE	35	metropolitano	feminino	branca	m‚dio completo	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa				2	NR	discorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total
SUDESTE	26	metropolitano	feminino	branca	m‚dio completo	nÆo sabe	nÆo sabe			5	2	outras	discorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	concorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total
SUDESTE	47	metropolitano	feminino	branca	primeira s‚rie m‚dio	nÆo respondeu	nÆo respondeu				2	cat¢lica	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	neutro	discorda total	neutro	neutro	concorda total	neutro	discorda total	neutro	neutro	discorda total	discorda total	neutro	discorda total	concorda total	neutro	discorda total	concorda total	discorda total	discorda total	neutro
SUDESTE	49	metropolitano	feminino	branca	s‚tima s‚rie fundamental	segunda s‚rie fundamental	segunda s‚rie fundamental	1500	1500	2	2	cat¢lica	discorda total	concorda parcial	concorda parcial	concorda total	discorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total
NORDESTE	51	urbano	feminino	parda	segunda s‚rie fundamental	analfabeto ou sem instru‡Æo	primeira s‚rie fundamental			4	2	cat¢lica	discorda total	discorda total	discorda total	discorda total	discorda parcial	concorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	neutro	concorda total	neutro	discorda total	discorda total	concorda total
NORDESTE	36	urbano	feminino	parda	m‚dio completo	quarta s‚rie fundamental completa	quinta s‚rie fundamental	678	1000	4	2	cat¢lica	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	discorda total	concorda parcial	discorda parcial	concorda total	concorda total	discorda total	discorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	neutro	discorda parcial	concorda parcial	discorda parcial
NORDESTE	18	urbano	feminino	parda	primeira s‚rie m‚dio	terceira s‚rie fundamental	terceira s‚rie fundamental	700	1000	3	2	evang‚lica	discorda total	concorda total	discorda parcial	discorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda parcial	discorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total
SUDESTE	19	urbano	masculino	branca	segunda s‚rie m‚dio	segunda s‚rie fundamental	analfabeto ou sem instru‡Æo	2200	2200	6	2	esp¡rita	discorda total	concorda total	discorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total
SUDESTE	59	metropolitano	feminino	branca	m‚dio completo	m‚dio completo	m‚dio completo	1600	1600	5	2	cat¢lica	discorda total	discorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	concorda total
SUDESTE	18	metropolitano	masculino	parda	segunda s‚rie m‚dio	terceira s‚rie m‚dio incompleto	m‚dio completo			4	2	evang‚lica	discorda total	neutro	discorda total	concorda parcial	neutro	concorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	neutro	discorda total	concorda parcial	discorda total	discorda total	concorda total	discorda total	discorda total	concorda total
NORDESTE	63	urbano	feminino	parda	quinta s‚rie fundamental	analfabeto ou sem instru‡Æo	terceira s‚rie fundamental	678	1300	5	2	cat¢lica	concorda parcial	ns	concorda parcial	concorda parcial	discorda total	concorda total	concorda total	concorda total	ns	concorda total	concorda parcial	concorda total	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	ns	discorda total	discorda total
NORDESTE	26	urbano	masculino	branca	m‚dio completo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	678	3	2	cat¢lica	discorda total	concorda parcial	concorda total	concorda total	discorda total	concorda parcial	discorda parcial	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	discorda parcial	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	concorda parcial	discorda parcial	concorda total	concorda total	discorda total	discorda parcial	discorda total
NORTE	24	urbano	feminino	parda	m‚dio completo	m‚dio completo	m‚dio completo	2000	2000	5	2	evang‚lica	discorda total	neutro	discorda total	concorda parcial	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda parcial	discorda total	concorda parcial	concorda total	discorda total	discorda parcial	discorda total
NORDESTE	26	urbano	feminino	parda	m‚dio completo	nÆo sabe	nÆo sabe	678		3	88	cat¢lica	concorda total	concorda total	discorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total
NORTE	57	urbano	feminino	parda	quinta s‚rie fundamental	nÆo sabe	nÆo sabe	678	678	7	2	evang‚lica	discorda total	ns	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda parcial	discorda total	discorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	ns	concorda total	concorda parcial	discorda total	discorda total	concorda parcial
NORTE	55	urbano	masculino	parda	fundamental completa	fundamental completa	fundamental completa	678	2000	7	2	evang‚lica	discorda total	concorda total	discorda total	concorda total	discorda total	concorda parcial	concorda total	concorda total	discorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda parcial	concorda total
NORTE	41	urbano	feminino	parda	quinta s‚rie fundamental	nÆo sabe	nÆo sabe	678	678	3	2	evang‚lica	discorda total	neutro	discorda total	concorda total	concorda parcial	concorda parcial	discorda total	concorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	concorda parcial	discorda total	concorda parcial	concorda total	discorda total	discorda parcial	discorda total
NORTE	78	urbano	feminino	parda	quarta s‚rie fundamental completa	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	678	3	2	cat¢lica	discorda total	concorda parcial	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda parcial	discorda total	concorda parcial	concorda total	concorda parcial	discorda parcial	concorda total
